ipv4,ip_id,scan_id,port,service,anomaly
237.191.136.70,0,0,"[np.int64(2086), np.int64(25), np.int64(110)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('POP3')]",0
237.191.136.70,0,1,"[np.int64(25), np.int64(2222), np.int64(8002)]","[np.str_('SMTP'), np.str_('SSH'), np.str_('UNKNOWN')]",0
237.191.136.70,0,2,"[np.int64(995), np.int64(10003), np.int64(161), np.int64(993), np.int64(9001)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('SNMP'), np.str_('IMAP'), np.str_('TELNET')]",0
237.191.136.70,0,3,"[np.int64(2200), np.int64(6001), np.int64(587), np.int64(2083)]","[np.str_('SSH'), np.str_('TELNET'), np.str_('SMTP'), np.str_('HTTP')]",0
237.191.136.70,0,4,"[np.int64(443), np.int64(995), np.int64(500)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('IKE')]",0
237.191.136.70,0,5,"[np.int64(21), np.int64(110), np.int64(2083), np.int64(465), np.int64(993), np.int64(135)]","[np.str_('FTP'), np.str_('POP3'), np.str_('HTTP'), np.str_('SMTP'), np.str_('IMAP'), np.str_('DCERPC')]",0
237.191.136.70,0,6,"[np.int64(161), np.int64(21)]","[np.str_('SNMP'), np.str_('FTP')]",0
237.191.136.70,0,7,"[np.int64(8443), np.int64(465), np.int64(995)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('POP3')]",0
237.191.136.70,0,8,"[np.int64(8401), np.int64(143), np.int64(25)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('SMTP')]",0
237.191.136.70,0,9,"[np.int64(2095), np.int64(465), np.int64(110), np.int64(21)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('POP3'), np.str_('FTP')]",0
237.191.136.70,0,10,[np.int64(993)],[np.str_('IMAP')],0
237.191.136.70,0,11,"[np.int64(465), np.int64(161)]","[np.str_('SMTP'), np.str_('SNMP')]",0
237.191.136.70,0,12,"[np.int64(22), np.int64(2096)]","[np.str_('SSH'), np.str_('HTTP')]",0
237.191.136.70,0,13,"[np.int64(993), np.int64(9000), np.int64(23)]","[np.str_('IMAP'), np.str_('HTTP'), np.str_('TELNET')]",0
237.191.136.70,0,14,"[np.int64(8000), np.int64(3306), np.int64(26)]","[np.str_('HTTP'), np.str_('MYSQL'), np.str_('SMTP')]",0
237.191.136.70,0,15,[np.int64(993)],[np.str_('IMAP')],0
237.191.136.70,0,16,"[np.int64(1883), np.int64(23), np.int64(993), np.int64(110), np.int64(111), np.int64(22), np.int64(3308), np.int64(53), np.int64(587), np.int64(1051), np.int64(21), np.int64(2000), np.int64(5432), np.int64(27017), np.int64(161)]","[np.str_('HTTP'), np.str_('TELNET'), np.str_('IMAP'), np.str_('POP3'), np.str_('PORTMAP'), np.str_('SSH'), np.str_('MYSQL'), np.str_('DNS'), np.str_('SMTP'), np.str_('UNKNOWN'), np.str_('FTP'), np.str_('MIKROTIK'), np.str_('POSTGRES'), np.str_('MONGODB'), np.str_('SNMP')]",1
237.191.136.70,0,17,"[np.int64(995), np.int64(2087), np.int64(465), np.int64(143), np.int64(53179), np.int64(21), np.int64(161), np.int64(5269), np.int64(53)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('SMTP'), np.str_('IMAP'), np.str_('SSH'), np.str_('FTP'), np.str_('SNMP'), np.str_('UNKNOWN'), np.str_('DNS')]",1
237.191.136.70,0,18,"[np.int64(995), np.int64(465), np.int64(161), np.int64(21), np.int64(143), np.int64(443), np.int64(6556), np.int64(111), np.int64(137), np.int64(5938), np.int64(53), np.int64(3306), np.int64(6071), np.int64(5432), np.int64(1433)]","[np.str_('POP3'), np.str_('SMTP'), np.str_('SNMP'), np.str_('FTP'), np.str_('IMAP'), np.str_('HTTP'), np.str_('SSH'), np.str_('PORTMAP'), np.str_('NETBIOS'), np.str_('TEAM'), np.str_('DNS'), np.str_('MYSQL'), np.str_('UNKNOWN'), np.str_('POSTGRES'), np.str_('MSSQL')]",1
237.191.136.70,0,19,"[np.int64(143), np.int64(500), np.int64(21), np.int64(443), np.int64(53), np.int64(587), np.int64(110), np.int64(22022), np.int64(161), np.int64(3306), np.int64(443), np.int64(111), np.int64(27017)]","[np.str_('IMAP'), np.str_('IKE'), np.str_('FTP'), np.str_('HTTP'), np.str_('DNS'), np.str_('SMTP'), np.str_('POP3'), np.str_('SSH'), np.str_('SNMP'), np.str_('MYSQL'), np.str_('UNKNOWN'), np.str_('PORTMAP'), np.str_('MONGODB')]",1
95.3.173.237,1,20,"[np.int64(993), np.int64(995)]","[np.str_('IMAP'), np.str_('POP3')]",0
95.3.173.237,1,21,"[np.int64(443), np.int64(21)]","[np.str_('HTTP'), np.str_('FTP')]",0
95.3.173.237,1,22,"[np.int64(3283), np.int64(443), np.int64(143), np.int64(110)]","[np.str_('ARD'), np.str_('HTTP'), np.str_('IMAP'), np.str_('POP3')]",0
95.3.173.237,1,23,"[np.int64(53), np.int64(2077), np.int64(22)]","[np.str_('DNS'), np.str_('HTTP'), np.str_('SSH')]",0
95.3.173.237,1,24,"[np.int64(8090), np.int64(993), np.int64(631)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('IPP')]",0
95.3.173.237,1,25,[np.int64(143)],[np.str_('IMAP')],0
95.3.173.237,1,26,"[np.int64(3306), np.int64(2086), np.int64(5222), np.int64(587)]","[np.str_('MYSQL'), np.str_('HTTP'), np.str_('XMPP'), np.str_('SMTP')]",0
95.3.173.237,1,27,"[np.int64(995), np.int64(2095), np.int64(3306)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('MYSQL')]",0
95.3.173.237,1,28,"[np.int64(143), np.int64(2095), np.int64(995), np.int64(2222), np.int64(25), np.int64(21)]","[np.str_('IMAP'), np.str_('HTTP'), np.str_('POP3'), np.str_('SSH'), np.str_('SMTP'), np.str_('FTP')]",0
95.3.173.237,1,29,"[np.int64(80), np.int64(587)]","[np.str_('HTTP'), np.str_('SMTP')]",0
